신청날짜,사업장,품목코드,품목,수량,단가,금액
2019-08-25,성남,MF6-903,DIAL GAUGE,4,130000 ,520000 
2019-04-27,성남,MF1-915,줄자,11,5000 ,55000 
2019-01-01,성남,MF6-844,LOCATION PIN,31,790000 ,24490000 
2019-06-23,성남,MF2-334,FLEXIBLE(전선관),31,57000 ,1767000 
2019-08-17,성남,MF3-065,절연판,27,45000 ,1215000 
2019-06-18,성남,MF7-463,안전장비D,20,21000 ,420000 
2019-11-25,성남,MF9-022,PUSH BUTTON S/W,27,15000 ,405000 
2019-01-20,성남,MF6-566,의료품,21,2500000 ,52500000 
2019-09-16,성남,MF7-682,용접장갑,34,38000 ,1292000 
2019-08-12,성남,MF4-345,각관,4,230000 ,920000 
2019-04-07,성남,MF7-062,PAINT,23,77000 ,1771000 
2019-04-14,성남,MF7-194,윤활유,43,2000000 ,86000000 
2019-11-07,성남,MF4-566,강관조관유,45,330000 ,14850000 
2019-09-01,성남,MF8-364,청소용구B,2,22000 ,44000 
2019-02-23,성남,MF5-512,COIL SPRING,30,200000 ,6000000 
2019-06-23,성남,MF7-136,INSERT TIP,44,30000 ,1320000 
2019-04-07,성남,MF8-556,MOTOR,20,30000 ,600000 
2019-02-26,성남,MF7-129,니쁠,30,5000 ,150000 
2019-03-07,성남,MF5-861,전선(동력선),10,9500 ,95000 
2019-04-22,성남,MF5-302,철사,6,20000 ,120000 
2019-03-06,성남,MF3-868,오일주입기,43,33000 ,1419000 
2019-03-15,성남,MF2-501,AIR COUPLER,25,30000 ,750000 
2019-05-28,성남,MF4-864,각관,30,230000 ,6900000 
2019-05-23,성남,MF8-072,와샤,5,60000 ,300000 
2019-05-21,성남,MF9-079,탄화수소세척액,11,33000 ,363000 
2019-10-28,성남,MF1-990,작업복B,27,33000 ,891000 
2019-07-04,성남,MF7-151,의료품,15,2500000 ,37500000 
2019-05-13,성남,MF2-257,황사마스크,32,8000 ,256000 
2019-01-09,성남,MF6-589,O-RING,35,46000 ,1610000 
2019-11-16,성남,MF1-737,마크펜,37,3000 ,111000 
2019-08-04,성남,MF5-487,등산마스크,3,4000 ,12000 
2019-02-21,성남,MF4-950,붓,37,3000 ,111000 
2019-09-23,성남,MF2-816,AIR MODULAR UNIT,41,78000 ,3198000 
2019-10-03,성남,MF2-824,액체알곤,13,9000 ,117000 
2019-09-20,성남,MF8-989,BALL RETAINERS,3,34000 ,102000 
2019-08-27,성남,MF4-758,니쁠,41,5000 ,205000 
2019-02-12,성남,MF2-516,LIGHING LAMP,35,33000 ,1155000 
2019-02-18,성남,MF5-732,FUSE,37,2000 ,74000 
2019-05-11,성남,MF5-538,비닐,23,15500 ,356500 
2019-03-25,성남,MF7-894,전산용품,20,55000 ,1100000 
2019-07-29,성남,MF4-509,철물,1,7000 ,7000 
2019-06-10,성남,MF5-599,CABLE TIE,10,10000 ,100000 
2019-05-30,성남,MF5-170,HYDRAULIC HOSE,50,27000 ,1350000 
2019-02-05,성남,MF7-375,작업복,34,1300000 ,44200000 
2019-11-09,성남,MF3-019,니쁠,39,5000 ,195000 
2019-12-09,성남,MF4-692,MICRO METER,1,120000 ,120000 
2019-01-17,성남,MF9-946,탄화수소세척액,34,33000 ,1122000 
2019-04-03,성남,MF5-158,전선(동력선),11,9500 ,104500 
2019-02-13,성남,MF9-316,O-RING,28,46000 ,1288000 
2019-01-19,성남,MF5-769,작업복B,42,33000 ,1386000 
2019-10-28,성남,MF1-430,BITE,21,86000 ,1806000 
2019-02-23,성남,MF8-452,AIR BOX,44,220000 ,9680000 
2019-09-09,성남,MF8-852,안전장비D,27,21000 ,567000 
2019-11-18,성남,MF8-598,알코올,38,8000 ,304000 
2019-05-07,성남,MF9-602,강관방청유(내측),2,540000 ,1080000 
2019-01-30,성남,MF5-936,RECEPTACLE,32,10000 ,320000 
2019-06-11,성남,MF2-482,파일/바인더류,13,2500 ,32500 
2019-11-25,성남,MF7-471,C2H2(아세틸렌),43,14000 ,602000 
2019-04-02,성남,MF7-960,GUIDE POST,43,340000 ,14620000 
2019-12-11,성남,MF7-769,철사,35,20000 ,700000 
2019-01-02,성남,MF2-524,RECEPTACLE,28,10000 ,280000 
2019-05-03,성남,MF7-716,OPP TAPE,36,26000 ,936000 
2019-12-09,성남,MF4-949,안전장비C,46,30000 ,1380000 
2019-09-10,성남,MF1-579,COUNTER DRILL,25,170000 ,4250000 
2019-12-12,성남,MF3-870,알코올,28,8000 ,224000 
2019-11-08,성남,MF6-960,O-RING,37,46000 ,1702000 
2019-02-19,성남,MF6-733,BALL VALVE,43,25000 ,1075000 
2019-10-10,성남,MF5-139,PAINT,15,77000 ,1155000 
2019-12-01,성남,MF1-047,AIR CYLIDER 부품,19,45000 ,855000 
2019-12-27,성남,MF8-809,HYDRAULIC HOSE,6,27000 ,162000 
2019-04-11,성남,MF6-698,LOCATION PIN,22,790000 ,17380000 
2019-10-04,성남,MF7-505,인쇄물,18,4700 ,84600 
2019-11-29,성남,MF7-285,FUSE,15,2000 ,30000 
2019-01-18,성남,MF9-479,윤활유,20,2000000 ,40000000 
2019-09-25,성남,MF2-504,END MILL,12,170000 ,2040000 
2019-08-26,성남,MF8-520,오일주입기,25,33000 ,825000 
2019-11-09,성남,MF3-010,강관방청유(내측),43,540000 ,23220000 
2019-10-22,성남,MF6-843,각관,4,230000 ,920000 
2019-06-03,성남,MF1-142,S45C(봉),39,45000 ,1755000 
2019-02-11,성남,MF8-282,종이컵,42,6000 ,252000 
2019-03-18,성남,MF2-446,안전장비B,50,25000 ,1250000 
2019-09-19,성남,MF5-866,파일/바인더류,15,2500 ,37500 
2019-06-20,성남,MF4-250,BITE,47,86000 ,4042000 
2019-09-24,성남,MF4-730,철물,31,7000 ,217000 
2019-07-22,성남,MF8-433,BEARING,27,75000 ,2025000 
2019-02-08,성남,MF6-714,LIMIT SWITCH,41,74000 ,3034000 
2019-09-20,성남,MF9-110,비닐,40,15500 ,620000 
2019-03-01,성남,MF7-002,POWER SUPPLY,1,60000 ,60000 
2019-08-16,대구,MF6-048,청소용구B,6,22000 ,132000 
2019-01-29,대구,MF9-310,드라이바,11,8000 ,88000 
2019-05-11,대구,MF6-128,윤활유,45,2000000 ,90000000 
2019-10-26,대구,MF7-412,접착제,24,20000 ,480000 
2019-09-25,대구,MF1-824,PILOT PUNCH,32,380000 ,12160000 
2019-03-07,대구,MF5-552,백관,27,56000 ,1512000 
2019-05-11,대구,MF8-228,LM BEARING,6,24000 ,144000 
2019-08-16,대구,MF5-078,PAPER,43,39000 ,1677000 
2019-10-29,대구,MF5-505,INSULATION TAPE,4,27000 ,108000 
2019-05-25,대구,MF3-355,공업용장갑,44,6500 ,286000 
2019-06-13,대구,MF6-646,BUTTOM DIE,21,42000 ,882000 
2019-07-11,대구,MF2-070,Pipe,29,530000 ,15370000 
2019-08-12,대구,MF6-910,LINE TAPE,8,30000 ,240000 
2019-05-02,대구,MF9-074,브레이크액,32,50000 ,1600000 
2019-01-04,대구,MF8-470,윤활유,24,2000000 ,48000000 
2019-01-09,대구,MF3-688,RECEPTACLE,48,10000 ,480000 
2019-04-08,대구,MF7-196,POWER SUPPLY,40,60000 ,2400000 
2019-07-21,대구,MF4-616,붓,19,3000 ,57000 
2019-12-07,대구,MF2-578,DIAL GAUGE,11,130000 ,1430000 
2019-01-10,대구,MF8-695,GRIND STONE,27,240000 ,6480000 
2019-10-12,대구,MF3-702,인쇄물,49,4700 ,230300 
2019-06-25,대구,MF3-171,윤활유,15,2000000 ,30000000 
2019-11-03,대구,MF2-863,구리스,5,330000 ,1650000 
2019-04-09,대구,MF3-174,LPG가스,35,210000 ,7350000 
2019-11-01,대구,MF5-968,GAUGE,1,15000 ,15000 
2019-08-23,대구,MF4-741,수용성세척액,6,30000 ,180000 
2019-03-19,대구,MF9-801,PHOTO SENSOR,16,600000 ,9600000 
2019-08-04,대구,MF3-728,백관,12,56000 ,672000 
2019-06-09,대구,MF7-840,DIAL GAUGE,26,130000 ,3380000 
2019-12-21,대구,MF8-362,BRUSH,22,3000 ,66000 
2019-02-04,대구,MF7-072,드라이바,45,8000 ,360000 
2019-02-22,대구,MF6-471,안전장비E,12,50000 ,600000 
2019-11-03,대구,MF6-302,철직자,49,1000 ,49000 
2019-04-10,대구,MF2-631,DRAWING OIL,30,67000 ,2010000 
2019-03-22,대구,MF7-012,접착제,34,20000 ,680000 
2019-08-09,대구,MF3-730,LINE TAPE,24,30000 ,720000 
2019-11-26,대구,MF2-117,ELECTRIC TOOL,1,16000 ,16000 
2019-04-21,대구,MF6-430,MICRO METER,40,120000 ,4800000 
2019-06-30,대구,MF4-565,전산용품,50,55000 ,2750000 
2019-03-23,대구,MF9-189,RELAY SWITCH,45,13000 ,585000 
2019-10-21,대구,MF6-282,PLASTIC BOX,26,20000 ,520000 
2019-10-07,대구,MF4-533,절연판,19,45000 ,855000 
2019-02-21,대구,MF8-832,S45C(판재),37,200000 ,7400000 
2019-11-28,대구,MF4-639,BRUSH,41,3000 ,123000 
2019-10-09,대구,MF2-421,BITE,16,86000 ,1376000 
2019-09-18,대구,MF8-538,면장갑,7,800 ,5600 
2019-07-02,대구,MF5-473,각관,4,230000 ,920000 
2019-05-18,대구,MF8-350,COIL SPRING,5,200000 ,1000000 
2019-10-28,대구,MF6-744,HISS PIN,38,97000 ,3686000 
2019-04-17,대구,MF2-478,강관방청유(외측),26,860000 ,22360000 
2019-06-17,대구,MF4-744,Chain,3,34000 ,102000 
2019-10-22,대구,MF5-292,PHOTO SENSOR,15,600000 ,9000000 
2019-09-30,대구,MF6-576,기체질소,44,6800 ,299200 
2019-10-17,대구,MF3-760,BOLT,13,3000 ,39000 
2019-12-07,대구,MF8-783,청소용구,4,8000 ,32000 
2019-04-15,대구,MF3-913,작업복,9,1300000 ,11700000 
2019-05-16,대구,MF8-693,철물,32,7000 ,224000 
2019-01-29,대구,MF7-708,줄자,36,5000 ,180000 
2019-11-15,대구,MF3-789,브레이크액,18,50000 ,900000 
2019-11-18,대구,MF4-771,Pipe,33,530000 ,17490000 
2019-08-12,대구,MF2-075,BALL RETAINERS,28,34000 ,952000 
2019-04-03,대구,MF8-566,Pipe,18,530000 ,9540000 
2019-06-23,대구,MF2-938,PAINT,32,77000 ,2464000 
2019-03-26,대구,MF6-277,청소용구,13,8000 ,104000 
2019-04-21,대구,MF6-205,강관조관유,17,330000 ,5610000 
2019-03-06,대구,MF3-128,DRILL,41,15000 ,615000 
2019-02-27,대구,MF2-387,FLEXIBLE(전선관),8,57000 ,456000 
2019-03-01,대구,MF8-956,LPG가스,16,210000 ,3360000 
2019-05-17,대구,MF7-762,MOTOR,48,30000 ,1440000 
2019-12-25,대구,MF4-522,전선(동력선),37,9500 ,351500 
2019-02-04,대구,MF2-978,GRIND STONE,14,240000 ,3360000 
2019-11-20,대구,MF9-473,LOCATION PIN,44,790000 ,34760000 
2019-12-11,대구,MF2-475,AIR CYLIDER 부품,35,45000 ,1575000 
2019-03-11,대구,MF3-500,각관,7,230000 ,1610000 
2019-01-24,대구,MF4-406,BALL RETAINERS,11,34000 ,374000 
2019-08-30,대구,MF9-780,HOLE CUTTER,26,15000 ,390000 
2019-12-26,대구,MF4-661,PACKING PARTS,17,260000 ,4420000 
2019-12-10,대구,MF6-492,용접장갑,8,38000 ,304000 
2019-09-26,대구,MF3-757,DIAL GAUGE,11,130000 ,1430000 
2019-03-05,대구,MF3-023,DIAL GAUGE,13,130000 ,1690000 
2019-10-20,대구,MF2-777,BALL RETAINERS,6,34000 ,204000 
2019-10-05,대구,MF5-417,니쁠,45,5000 ,225000 
2019-01-14,대구,MF9-537,O-RING,27,46000 ,1242000 
2019-09-28,대구,MF9-666,Pipe,42,530000 ,22260000 
2019-07-08,대구,MF1-260,S45C(판재),28,200000 ,5600000 
2019-01-02,대구,MF3-336,스치로폴,12,30000 ,360000 
2019-11-12,대구,MF7-891,강관조관유,32,330000 ,10560000 
2019-10-28,대구,MF2-266,INSERT TIP,11,30000 ,330000 
2019-11-13,대구,MF8-999,안전장비D,6,21000 ,126000 
2019-01-21,대구,MF3-062,청소용구E,16,52000 ,832000 
2019-10-04,대구,MF3-692,방진마스크,15,7000 ,105000 
2019-04-04,대구,MF4-251,등산마스크,43,4000 ,172000 
2019-06-11,대구,MF6-893,접착제,8,20000 ,160000 
2019-09-06,대구,MF1-325,MOTOR,33,30000 ,990000 
2019-08-11,대구,MF4-971,AIR MODULAR UNIT,15,78000 ,1170000 
2019-01-10,대구,MF8-930,LIFTER PIN SET,40,180000 ,7200000 
2019-05-24,대구,MF5-658,AIR CYLIDER 부품,29,45000 ,1305000 
2019-11-15,대구,MF2-973,GAUGE,29,15000 ,435000 
2019-06-07,대구,MF3-918,지류,40,15000 ,600000 
2019-09-01,대구,MF4-194,AIR CYLIDER 부품,44,45000 ,1980000 
2019-08-12,대구,MF4-533,MOTOR,49,30000 ,1470000 
2019-08-14,대구,MF2-893,PLASTIC BOX,45,20000 ,900000 
2019-01-07,대구,MF5-820,AIR CYLINDER,23,56000 ,1288000 
2019-10-10,대구,MF7-262,S45C봉,41,70000 ,2870000 
2019-06-14,대구,MF3-089,BRACKER SWITCH,18,10000 ,180000 
2019-09-30,대구,MF1-846,PLASMA W/D PARTS,26,5000 ,130000 
2019-02-11,대구,MF9-246,황사마스크,29,8000 ,232000 
2019-09-26,대구,MF5-175,종이컵,5,6000 ,30000 
2019-04-20,대구,MF5-394,작업복B,12,33000 ,396000 
2019-05-24,대구,MF5-062,MOTOR,20,30000 ,600000 
2019-02-09,대구,MF5-599,HOOK,13,170000 ,2210000 
2019-07-10,대구,MF7-170,DOWEL PIN,43,430000 ,18490000 
2019-04-12,대구,MF2-627,등산마스크,6,4000 ,24000 
2019-08-04,대구,MF2-666,LOCATION PIN,40,790000 ,31600000 
2019-11-29,대구,MF4-815,BALL RETAINERS,22,34000 ,748000 
2019-03-10,대구,MF8-791,Pipe,31,530000 ,16430000 
2019-10-02,대구,MF2-205,안전장비,5,290000 ,1450000 
2019-11-24,대구,MF1-098,청소용구D,32,41000 ,1312000 
2019-07-16,대구,MF6-695,붕산,2,7000 ,14000 
2019-11-05,대구,MF3-896,S45C(판재),7,200000 ,1400000 
2019-06-06,대구,MF6-833,GUIDE PIN,17,35000 ,595000 
2019-10-07,대구,MF9-303,철사,11,20000 ,220000 
2019-06-03,대구,MF5-830,BALL VALVE,46,25000 ,1150000 
2019-03-21,대구,MF9-819,기체질소,17,6800 ,115600 
2019-05-07,대구,MF5-686,BALL VALVE,45,25000 ,1125000 
2019-08-05,대구,MF1-410,철사,44,20000 ,880000 
2019-05-07,대구,MF6-700,MOTOR,49,30000 ,1470000 
2019-03-19,대구,MF5-669,BALL VALVE,25,25000 ,625000 
2019-12-30,대구,MF1-059,Chain,11,34000 ,374000 
2019-04-21,대구,MF4-098,RECEPTACLE,4,10000 ,40000 
2019-08-02,대구,MF3-197,PRESS 타발유,12,5700000 ,68400000 
2019-06-01,대구,MF1-719,실리콘,7,150000 ,1050000 
2019-12-14,대구,MF7-823,BALL RETAINERS,4,34000 ,136000 
2019-12-29,대구,MF6-379,PLASTIC BOX,30,20000 ,600000 
2019-12-19,대구,MF3-688,필기구류,22,1500 ,33000 
2019-11-01,대구,MF7-646,절연판,10,45000 ,450000 
2019-07-19,대구,MF6-104,작업용장갑,10,4000 ,40000 
2019-09-06,대구,MF1-515,스폰지,14,55000 ,770000 
2019-02-20,대구,MF4-749,액체질소,21,2000 ,42000 
2019-04-22,대구,MF7-103,NUT,50,15000 ,750000 
2019-01-13,대구,MF6-584,PACKING PARTS,46,260000 ,11960000 
2019-09-05,대구,MF3-424,GAUGE,50,15000 ,750000 
2019-07-12,대구,MF3-547,P/Z O-RING,1,38000 ,38000 
2019-01-05,대구,MF4-438,용접장갑,15,38000 ,570000 
2019-03-08,대구,MF1-865,PUSH BUTTON S/W,7,15000 ,105000 
2019-02-26,대구,MF5-195,INSERT TIP,30,30000 ,900000 
2019-03-28,대구,MF6-766,브레이크액,25,50000 ,1250000 
2019-06-17,대구,MF3-772,철사,24,20000 ,480000 
2019-06-04,대구,MF2-151,Pipe,23,530000 ,12190000 
2019-06-04,대구,MF8-351,브레이크액,5,50000 ,250000 
2019-11-23,대구,MF9-768,S45C(봉),1,45000 ,45000 
2019-03-04,대구,MF2-752,Chain,48,34000 ,1632000 
2019-04-02,대구,MF8-526,절연판,33,45000 ,1485000 
2019-10-09,대구,MF1-389,필기구류,21,1500 ,31500 
2019-07-23,대구,MF8-878,AIR CYLIDER 부품,14,45000 ,630000 
2019-05-02,대구,MF7-904,파일/바인더류,30,2500 ,75000 
2019-04-20,대구,MF4-616,건전지,32,2400 ,76800 
2019-06-27,대구,MF9-855,접착제,20,20000 ,400000 
2019-04-23,대구,MF8-947,철물,17,7000 ,119000 
2019-09-17,대구,MF2-635,청소용구A,10,13000 ,130000 
2019-05-14,대구,MF6-802,면장갑,49,800 ,39200 
2019-03-30,대구,MF7-145,비닐,34,15500 ,527000 
2019-10-02,대구,MF8-371,전산용품,12,55000 ,660000 
2019-05-03,대구,MF6-211,END MILL,27,170000 ,4590000 
2019-05-13,대구,MF3-404,청소용구E,13,52000 ,676000 
2019-02-26,대구,MF7-290,청소용구,37,8000 ,296000 
2019-12-06,대구,MF1-830,LPG가스,7,210000 ,1470000 
2019-10-18,대구,MF5-621,와샤,50,60000 ,3000000 
2019-06-12,대구,MF4-269,C2H2(아세틸렌),26,14000 ,364000 
2019-06-04,대구,MF8-103,DRAWING OIL,8,67000 ,536000 
2019-08-22,대구,MF5-439,INSULATION TAPE,32,27000 ,864000 
2019-11-30,대구,MF2-846,CABLE TIE,4,10000 ,40000 
2019-05-01,대구,MF7-751,안전장비E,20,50000 ,1000000 
2019-02-11,대구,MF9-032,HISS PIN,21,97000 ,2037000 
2019-04-30,대구,MF3-061,강관방청유(외측),31,860000 ,26660000 
2019-08-23,대구,MF4-248,LPG가스,27,210000 ,5670000 
2019-10-17,대구,MF7-697,윤활유,18,2000000 ,36000000 
2019-02-09,대구,MF5-485,청소용구,23,8000 ,184000 
2019-03-26,대구,MF5-916,S45C(봉),10,45000 ,450000 
2019-04-21,대구,MF9-813,S45C(판재),27,200000 ,5400000 
2019-06-30,대구,MF1-017,스폰지,31,55000 ,1705000 
2019-06-04,대구,MF6-683,MOTOR,32,30000 ,960000 
2019-10-30,대구,MF5-054,INSERT TIP,11,30000 ,330000 
2019-03-16,대구,MF3-478,실리콘,41,150000 ,6150000 
2019-04-22,대구,MF2-419,구리스,12,330000 ,3960000 
2019-03-18,대구,MF4-344,작업복A,25,45000 ,1125000 
2019-06-30,대구,MF3-966,작업용장갑,19,4000 ,76000 
2019-04-08,대구,MF1-450,청소용구,30,8000 ,240000 
2019-08-03,대구,MF1-338,BALL VALVE,31,25000 ,775000 
2019-06-12,대구,MF2-717,DOWEL PIN,24,430000 ,10320000 
2019-03-06,대구,MF6-876,Pipe,39,530000 ,20670000 
2019-08-02,대구,MF1-595,GUIDE POST,11,340000 ,3740000 
2019-02-20,대구,MF3-174,PILOT PUNCH,28,380000 ,10640000 
2019-01-08,대구,MF5-317,안전장비A,25,76800 ,1920000 
2019-01-05,대구,MF2-969,가공유,12,500000 ,6000000 
2019-04-04,대구,MF7-359,MICRO METER,36,120000 ,4320000 
2019-06-06,대구,MF4-665,각관,5,230000 ,1150000 
2019-04-19,대구,MF8-022,배관자재,21,3000 ,63000 
2019-02-28,대구,MF9-621,DRILL,46,15000 ,690000 
2019-07-09,대구,MF9-562,HOOK,12,170000 ,2040000 
2019-03-16,대구,MF1-114,PAPER,15,39000 ,585000 
2019-07-09,대구,MF2-727,목재,20,6700 ,134000 
2019-10-10,대구,MF7-946,NUT,17,15000 ,255000 
2019-11-11,대구,MF6-528,HOLE CUTTER,5,15000 ,75000 
2019-11-04,대구,MF6-948,용접장갑,13,38000 ,494000 
2019-08-14,대구,MF4-044,LOCATION PIN,37,790000 ,29230000 
2019-12-23,대구,MF7-053,LIMIT SWITCH,17,74000 ,1258000 
2019-07-17,대구,MF7-912,액체알곤,5,9000 ,45000 
2019-10-15,대구,MF7-270,필기구류,9,1500 ,13500 
2019-11-16,대구,MF7-532,안전장비E,41,50000 ,2050000 
2019-11-01,대구,MF3-555,황사마스크,40,8000 ,320000 
2019-05-01,대구,MF4-283,황사마스크,50,8000 ,400000 
2019-05-12,대구,MF9-067,줄자,35,5000 ,175000 
2019-07-08,대구,MF8-651,BUTTOM DIE,23,42000 ,966000 
2019-09-07,대구,MF9-921,FLEXIBLE(전선관),37,57000 ,2109000 
2019-12-24,대구,MF6-134,DIAL GAUGE,16,130000 ,2080000 
2019-09-28,대구,MF7-466,BALL VALVE,15,25000 ,375000 
2019-06-15,대구,MF4-959,END MILL,33,170000 ,5610000 
2019-06-01,대구,MF7-025,스치로폴,13,30000 ,390000 
2019-08-08,대구,MF2-177,GAUGE,17,15000 ,255000 
2019-06-05,대구,MF7-895,일반사무용품류,32,2100 ,67200 
2019-11-27,대구,MF4-279,접착제,2,20000 ,40000 
2019-06-07,대구,MF8-708,O-RING,44,46000 ,2024000 
2019-10-16,대구,MF9-808,작업복,42,1300000 ,54600000 
2019-07-21,대구,MF1-633,PHOTO SENSOR,6,600000 ,3600000 
2019-01-17,대구,MF1-437,PRESS 타발유,17,5700000 ,96900000 
2019-11-24,대구,MF4-752,소모품,28,2200 ,61600 
2019-10-25,대구,MF3-590,드라이바,21,8000 ,168000 
2019-11-02,대구,MF9-140,PLUG,38,3000 ,114000 
2019-07-05,대구,MF9-780,청소용구,33,8000 ,264000 
2019-07-18,대구,MF2-931,FLEXIBLE(전선관),44,57000 ,2508000 
2019-05-21,대구,MF5-929,스폰지,16,55000 ,880000 
2019-09-16,대구,MF5-006,수용성세척액,43,30000 ,1290000 
2019-05-29,대구,MF8-041,탄화수소세척액,18,33000 ,594000 
2019-03-12,대구,MF5-655,BEARING,9,75000 ,675000 
2019-01-22,대구,MF5-231,백관,28,56000 ,1568000 
2019-12-01,대구,MF3-865,각관,30,230000 ,6900000 
2019-01-24,대구,MF3-009,C2H2(아세틸렌),32,14000 ,448000 
2019-02-06,대구,MF1-977,종이컵,10,6000 ,60000 
2019-08-29,대구,MF8-400,비닐,17,15500 ,263500 
2019-08-26,대구,MF8-320,MICRO METER,17,120000 ,2040000 
2019-10-15,대구,MF1-020,S45C(봉),30,45000 ,1350000 
2019-11-10,대구,MF7-096,철직자,8,1000 ,8000 
2019-01-07,대구,MF2-363,AIR CYLINDER,22,56000 ,1232000 
2019-06-20,대구,MF7-812,COUNTER DRILL,35,170000 ,5950000 
2019-04-14,대구,MF7-622,전선(동력선),19,9500 ,180500 
2019-05-05,대구,MF6-486,일반사무용품류,32,2100 ,67200 
2019-08-14,대구,MF2-797,LIMIT SWITCH,31,74000 ,2294000 
2019-12-03,대구,MF4-889,ANGLE,5,32000 ,160000 
2019-09-04,대구,MF9-731,건전지,33,2400 ,79200 
2019-06-23,대구,MF5-055,BEARING,7,75000 ,525000 
2019-03-27,대구,MF6-680,탄화수소세척액,28,33000 ,924000 
2019-01-27,대구,MF3-455,HYDRAULIC HOSE,41,27000 ,1107000 
2019-01-17,대구,MF5-964,기체질소,12,6800 ,81600 
2019-10-11,대구,MF5-906,탄화수소세척액,12,33000 ,396000 
2019-03-13,대구,MF5-761,POWER SUPPLY,14,60000 ,840000 
2019-11-24,대구,MF4-992,LOCATION PIN,34,790000 ,26860000 
2019-03-10,대구,MF2-125,각관,23,230000 ,5290000 
2019-04-17,대구,MF9-925,안전장비E,8,50000 ,400000 
2019-12-30,대구,MF2-033,COIL SPRING,15,200000 ,3000000 
2019-09-11,대구,MF8-256,ANGLE,25,32000 ,800000 
2019-01-16,대구,MF8-058,DOWEL PIN,33,430000 ,14190000 
2019-01-04,대구,MF5-310,POWER SUPPLY,43,60000 ,2580000 
2019-02-19,대구,MF7-537,LINE TAPE,9,30000 ,270000 
2019-09-28,대구,MF4-588,종이컵,50,6000 ,300000 
2019-11-29,대구,MF5-981,면장갑,4,800 ,3200 
2019-03-11,대구,MF6-714,PLUG,9,3000 ,27000 
2019-06-28,대구,MF1-040,S45C(봉),9,45000 ,405000 
2019-10-26,대구,MF6-094,BRUSH,26,3000 ,78000 
2019-05-07,대구,MF3-167,액체알곤,47,9000 ,423000 
2019-12-25,대구,MF9-431,탄화수소세척액,30,33000 ,990000 
2019-06-28,대구,MF6-013,BRACKER SWITCH,44,10000 ,440000 
2019-10-25,대구,MF3-546,HOLE CUTTER,22,15000 ,330000 
2019-12-19,대구,MF3-386,건전지,21,2400 ,50400 
2019-01-30,대구,MF2-564,안전장비A,16,76800 ,1228800 
2019-04-15,대구,MF5-184,각관,18,230000 ,4140000 
2019-06-26,대구,MF1-588,GAUGE,28,15000 ,420000 
2019-02-13,대구,MF7-513,청소용구A,45,13000 ,585000 
2019-07-30,대구,MF1-239,절연판,30,45000 ,1350000 
2019-04-09,대구,MF2-115,경유,43,80000 ,3440000 
2019-07-26,대구,MF6-674,LPG가스,25,210000 ,5250000 
2019-08-12,대구,MF1-043,S45C봉,22,70000 ,1540000 
2019-06-08,대구,MF7-014,불화카리,16,83000 ,1328000 
2019-10-04,대구,MF1-361,PACKING PARTS,15,260000 ,3900000 
2019-09-30,대구,MF8-664,화장지,8,4700 ,37600 
2019-04-14,대구,MF4-297,PACKING PARTS,49,260000 ,12740000 
2019-10-18,대구,MF8-409,니쁠,49,5000 ,245000 
2019-11-21,대구,MF4-620,P/Z O-RING,29,38000 ,1102000 
2019-09-13,대구,MF1-900,O-RING,7,46000 ,322000 
2019-05-04,대구,MF8-446,스폰지,45,55000 ,2475000 
2019-03-06,대구,MF8-490,붓,28,3000 ,84000 
2019-01-22,대구,MF1-501,C2H2(아세틸렌),36,14000 ,504000 
2019-04-16,대구,MF6-474,AIR BOX,24,220000 ,5280000 
2019-09-06,대구,MF5-064,종이컵,26,6000 ,156000 
2019-12-17,대구,MF6-276,DIAL GAUGE,13,130000 ,1690000 
2019-05-23,대구,MF1-580,AL TAPE,30,15000 ,450000 
2019-12-16,대구,MF1-198,LINE TAPE,42,30000 ,1260000 
2019-06-23,대구,MF2-840,LIFTER PIN SET,5,180000 ,900000 
2019-06-06,대구,MF3-865,GUIDE POST,50,340000 ,17000000 
2019-01-10,대구,MF8-573,스폰지,16,55000 ,880000 
2019-01-17,대구,MF4-263,붓,12,3000 ,36000 
2019-08-02,대구,MF8-448,PAINT,2,77000 ,154000 
2019-04-24,대구,MF1-763,O-RING,11,46000 ,506000 
2019-03-28,대구,MF8-322,MOTOR,17,30000 ,510000 
2019-12-17,대구,MF1-578,전선(동력선),14,9500 ,133000 
2019-10-12,대구,MF2-760,건전지,29,2400 ,69600 
2019-09-26,대구,MF9-387,소모품,18,2200 ,39600 
2019-06-06,대구,MF7-832,경유,32,80000 ,2560000 
2019-08-09,대구,MF7-158,경유,18,80000 ,1440000 
2019-08-19,대구,MF1-943,철물,50,7000 ,350000 
2019-11-03,대구,MF6-797,GUIDE PIN,29,35000 ,1015000 
2019-02-06,대구,MF7-858,FUSE,19,2000 ,38000 
2019-10-18,대구,MF8-540,NUT,46,15000 ,690000 
2019-11-11,대구,MF1-231,파일/바인더류,6,2500 ,15000 
2019-12-20,대구,MF3-073,종이컵,43,6000 ,258000 
2019-08-11,대구,MF5-260,P/Z O-RING,45,38000 ,1710000 
2019-07-10,대구,MF4-449,PILOT PUNCH,5,380000 ,1900000 
2019-11-21,대구,MF4-972,강관조관유,42,330000 ,13860000 
2019-10-01,대구,MF5-147,안전장비,11,290000 ,3190000 
2019-04-30,대구,MF5-214,PLASTIC BOX,9,20000 ,180000 
2019-05-25,대구,MF5-255,절연판,20,45000 ,900000 
